"","EventID","Metric","Value"
"434",5732,"BENT_PROP",0.390092879256966
"435",5732,"BENT_SUM",126
"436",5732,"COTTID_NTAX",0
"437",5732,"COTTID_PROP",0
"438",5732,"COTTID_SUM",0
"439",5732,"CYPR_NTAX",9
"440",5732,"CYPR_PROP",0.424148606811146
"441",5732,"CYPR_SUM",137
"442",5732,"MODTOL_NTAX",4
"443",5732,"MODTOL_PROP",0.173374613003096
"444",5732,"MODTOL_SUM",56
"445",5732,"TOLBENT_NTAX",8
"446",5732,"TOLBENT_PROP",0.294117647058824
"447",5732,"TOLBENT_SUM",95
"448",5732,"TOTAL",323
"449",5734,"BENT_NTAX",10
"450",5734,"BENT_PROP",0.43265306122449
"451",5734,"BENT_SUM",106
"452",5734,"COTTID_NTAX",0
"453",5734,"COTTID_PROP",0
"454",5734,"COTTID_SUM",0
"455",5734,"CYPR_NTAX",9
"456",5734,"CYPR_PROP",0.677551020408163
"457",5734,"CYPR_SUM",166
"458",5734,"MODTOL_NTAX",2
"459",5734,"MODTOL_PROP",0.036734693877551
"460",5734,"MODTOL_SUM",9
"461",5734,"TOLBENT_NTAX",6
"462",5734,"TOLBENT_PROP",0.36734693877551
"463",5734,"TOLBENT_SUM",90
"464",5734,"TOTAL",245
"465",5736,"BENT_NTAX",14
"466",5736,"BENT_PROP",0.452674897119342
"467",5736,"BENT_SUM",110
"468",5736,"COTTID_NTAX",0
"469",5736,"COTTID_PROP",0
"470",5736,"COTTID_SUM",0
"471",5736,"CYPR_NTAX",8
"472",5736,"CYPR_PROP",0.489711934156379
"473",5736,"CYPR_SUM",119
"474",5736,"MODTOL_NTAX",3
"475",5736,"MODTOL_PROP",0.135802469135802
"476",5736,"MODTOL_SUM",33
"477",5736,"TOLBENT_NTAX",7
"478",5736,"TOLBENT_PROP",0.283950617283951
"479",5736,"TOLBENT_SUM",69
"480",5736,"TOTAL",243
"481",5738,"BENT_NTAX",10
"482",5738,"BENT_PROP",0.551948051948052
"483",5738,"BENT_SUM",85
"484",5738,"COTTID_NTAX",0
"485",5738,"COTTID_PROP",0
"486",5738,"COTTID_SUM",0
"487",5738,"CYPR_NTAX",8
"488",5738,"CYPR_PROP",0.564935064935065
"489",5738,"CYPR_SUM",87
"490",5738,"MODTOL_NTAX",4
"491",5738,"MODTOL_PROP",0.0649350649350649
"492",5738,"MODTOL_SUM",10
"493",5738,"TOLBENT_NTAX",4
"494",5738,"TOLBENT_PROP",0.409090909090909
"495",5738,"TOLBENT_SUM",63
"496",5738,"TOTAL",154
"497",5746,"BENT_NTAX",15
"498",5746,"BENT_PROP",0.63855421686747
"499",5746,"BENT_SUM",159
"500",5746,"COTTID_NTAX",0
"501",5746,"COTTID_PROP",0
"502",5746,"COTTID_SUM",0
"503",5746,"CYPR_NTAX",9
"504",5746,"CYPR_PROP",0.558232931726908
"505",5746,"CYPR_SUM",139
"506",5746,"MODTOL_NTAX",4
"507",5746,"MODTOL_PROP",0.188755020080321
"508",5746,"MODTOL_SUM",47
